"tag_id","ring_number","scientific_name","tag_comments","manufacturer","model","firmware","weight","attachment_type","readout_method"
"30YJ","AA44797","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.52,"leg harness|material:cord|attachement:tubes",NA
"30YK","AA44798","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.52,"leg harness|material:cord|attachement:tubes",NA
"30YL","AA44735","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.5700001,"leg harness|material:cord|attachement:tubes",NA
"32VS","AA45036","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.0-RC1",1.51,"leg harness|material:cord|attachement:tubes",NA
"32VX","AA45035","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.0-RC1",1.55,"leg harness|material:cord|attachement:tubes",NA
"32WS","AA44800","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.0-RC1",1.48,"leg harness|material:cord|attachement:tubes",NA
"32WT","AA45027","Cossypha natalensis","deployed too early(b4 1st June)!","Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.0-RC1",1.51,"leg harness|material:cord|attachement:tubes",NA
"32WV","AA45046","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.0-RC1",1.5,"leg harness|material:cord|attachement:tubes",NA
"32WW","AA45037","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.0-RC1",1.5,"leg harness|material:cord|attachement:tubes",NA
"32XX","AA45042","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.0-RC1",1.48,"leg harness|material:cord|attachement:tubes",NA
"32YS","AA17012","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.0-RC1",1.5599999,"leg harness|material:cord|attachement:tubes",NA
"32YZ","AA45045","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.0-RC1",1.52,"leg harness|material:cord|attachement:tubes",NA
